rank,term,doc_freq,frequency,adj_frequency,methods,nonambiguous,informative,type,topic,role,notes,example
2485,appeal counsel,3,3,3,spacy,1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,"At the time of hearing of this Appeal counsel for the 1st Respondent made a statement that the 1st Respondent was now ready and willing to accept the offer of the Appellant and would not object to Sale Deed being executed and registered, ev"
2486,government notification,2,3,3,spacy,1,informative,STATUTE-PROVISION,LAND-ACQUISITION,RULE,,"XXV of 1938), and in supersession of Government Notification in the Political and Service Department No. 2847/34-2 dated the 14th March, 1939, the Government of Bombay is pleased to direct that the provisions of the Act which have been exte"
2487,tariff payment,1,3,3,textacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,
2488,unlawful consideration,1,3,3,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"Provided that no order, scheme or repartition shall be varied or reversed without giving the parties interested notice to appear and opportunity to be heard except in cases where the State Government is satisfied that the proceedings have b"
2489,phrase fee,1,3,3,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"Phrase ""Fees taken in Court"" in List 1 Entry 77 and List 11 Entry 3 of Seventh Schedule to Constitution of India, meaning of."
2490,notice hereinabove,1,3,3,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"Therein, apart from disapproving the proposition that the date of commencement of the Code could be the starting point of limitation (as noticed hereinabove), this Court again pointed out the fallacy in applying the period of limitation rel"
2491,share holder,2,3,3,"spacy,textacy",1,informative,LEGAL-CONCEPT,PARTITION,ISSUE,,Madhubhai and the other contributories in the shape of the 57 share-holders of 108 shares of the National Mills wrote the 11 letters between the dates 19th July and the 29th July 1955 whereby they called upon the Liquidators to sell the sai
2492,fresh notification,1,3,3,spacy,1,informative,STATUTE-PROVISION,LAND-ACQUISITION,RULE,,"Dr. Rajeev Dhawan, learned Senior Counsel, has made available the Annual Report of the Governor on the Administration of Scheduled Areas in Andhra Pradesh for the year 1999−2000, in which question of the amendment and bringing a fresh notif"
2493,indian partnership act,1,3,3,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Author: A.M. Ahmadi Bench: A.M. Ahmadi, M.M. Punchhi, K. Ramaswamy S.V. CHANDRA PANDIAN AND Vs. S.V. SIVALINGA NADAR AND DATE OF JUDGMENT11/01/1993 AHMADI, A.M. (J) AHMADI, A.M. (J) PUNCHHI, M.M. RAMASWAMY, K. CITATION: 1993 (1) 58 1993 (1)"
2494,civil proceeding,3,3,3,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"v. Savarkar(3) to be a final order in a civil proceeding and, therefore, appealable under Art."
2495,n.v.k. appeal,3,3,3,spacy,1,informative,PARTY-ACTOR,,ACTOR,,N.V.K. Appeal allowed.
2496,share commission,1,3,3,spacy,1,informative,FORUM-AUTHORITY,PARTITION,ACTOR,,"In this item, “partner” includes a person residing outside India with whom a chartered accountant in practice has entered into partnership which is not in contravention of item (4) of this Part; (3) accepts or agrees to accept any part of t"
2497,legitimate share,1,3,3,spacy,1,informative,LEGAL-CONCEPT,PARTITION,ISSUE,,The plaintiff tentatively values the said properties mentioned in Category (b) aforesaid at O.S. Rupees one lakh and claims her legitimate share therein after the full extent and value thereof are ascertained. 13.
2498,report of dr. gautam,1,3,3,yake,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,
2499,fire service,2,3,3,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"Under the 2005 Act, the police authorities exercised over all control over the members of the fire services."
2500,a.k. sarkar bench,3,3,3,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"Author: A.K. Sarkar Bench: A.K. Sarkar, S.K. Das, J.L. Kapur, M. Hidayatullah, Raghubar Dayal ROOP CHAND"
2501,fearless justice,1,3,3,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,Fearless justice is a cardinal creed of our founding document.
2502,agreement deed,1,3,3,spacy,1,informative,INSTRUMENT-EVIDENCE,SALE-CONTRACT,EVIDENCE,,"That a sum of Rs. 20,000/- in cash was paid to Surjit Kaur with the condition that before the execution and registration of sale deed before 30.6.1981 the possession of the land mentioned in the agreement deed will be delivered to the appli"
2503,paigah grant,1,3,3,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,This grant seems to have been made as Paigah grant.
2504,residuary article,1,3,3,spacy,1,informative,STATUTE-PROVISION,CONSTITUTIONAL,RULE,,"Mr Aditya Parolia, learned counsel appearing on behalf of the appellant has argued that Article 137 being a residuary article would apply on the facts of this case, and as right to sue accrued only on and from 21.07.2011, three years having"
2505,premium rate,1,3,3,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,He submitted that the obligation to intimate stems out of Clause 14 which deals with the possibility of revision of terms of a policy including the premium rates.
2506,family life,2,3,3,spacy,1,informative,PARTY-ACTOR,,ACTOR,,This clearly demonstrates discontent and unrest in the family life of a large number of people of the society. 29.
2507,court of the civil,2,3,3,yake,1,informative,FORUM-AUTHORITY,,ACTOR,,
2508,senior subordinate judge,1,3,3,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"On 26.11.48 Shri Hari Ram filed a Civil Suit No. 63 of 1948 in the Court of Senior Subordinate Judge, Mandi for possession of the property in terms of the alleged compromise pursuant to which the gift was made to Shri Dhari or in the altern"
2509,previous consent,2,3,3,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,The word 'request' has been used as a matter of courtesy because the previous consent of the President of India is taken by the Chief Justice of India and then a request is made to the sitting Judge concerned.
2510,monthly tariff payment,1,3,3,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"Energy Watchdog vs Central Electricity Regulatory ... on 11 April, 2017 13.2 Application and Principles for computing impact of Change in Law While determining the consequence of Change in Law under this Article 13, the Parties shall have d"
2511,commission agent,1,3,3,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Instead, delivery was taken through commission agents on indemnity bonds on the allegation that the railway receipts had been lost."
2512,vacant house,1,3,3,"spacy,textacy",1,informative,PROPERTY-RES,,EVIDENCE,,"Section 30(3)(a) of the Mysore House Rent and Accommodation Control Act, 1951, authorised the Controller to select any Government, local authority, public institution, officer of S. P. Jinadathappa vs R. P. Sharma And Others on 17 April, 19"
2513,resort guest house,1,3,3,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,The members of this association have established resorts/guest houses in the Nilgiris forest area.
2514,indian registration act,1,3,3,spacy,1,informative,STATUTE-PROVISION,,RULE,,"The following documents shall be registered, if the property to which they relate is situate in a district in which, and if they have been executed on or after the date on which, Act, No. XVI of 1864, or the Indian Registration Act, 1866 (2"
2515,indian legislature,3,3,3,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,Reference was made at the Bar to the case of The United Provinces v. The Governor-General in Council(1) where the United Provinces filed a suit against the Governor-General in Council for a declaration that certain provisions of the Cantonm
2516,subsequent order,2,3,3,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,(2) The President may at any time by order— (a) direct that the whole or any specified part of a Scheduled Area shall cease to be a Scheduled Area or a part of such an area; (aa) increase the area of any Scheduled Area in a State after cons
2517,rental income,1,3,3,"spacy,textacy",1,informative,MONETARY-VALUATION,,EVIDENCE,,"As per the audit reports, the Deceased used to draw all his rental income from the share he held in a commercial building known as ‘Lakshmi Complex’ and the remaining income was from his agricultural lands, which have been bequeathed to his"
2518,house nos,1,3,3,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"So far as the parties to the compromise are concerned, a decree shall follow in terms of the compromise, excluding such terms as relate to appointment of and directions to Receiver and Commissioner and also terms regarding the properties wh"
2519,court fee payable,1,3,3,"spacy,textacy",1,informative,FORUM-AUTHORITY,,ACTOR,,"The petitioner filed Writ Petition No. 1743 of 1964 on the question of court-fee payable on the intended suit, praying that the High Court may be pleased to issue a writ of mandamus or other direction order declaring Rule I of the High Cour"
2520,sale ext.2,1,3,3,"spacy,textacy",1,informative,LEGAL-CONCEPT,SALE-CONTRACT,ISSUE,,She also got the signature of the defendant in the agreement of sale Ext.2 examined and compared with the admitted signature of the defendant through handwriting expert P.W.1 Syed Ekbal Taiyab Hussain Raza who opined that the signature on t
2521,service bv,1,3,3,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,Services BV coordinates efforts of various firms across the globe to develop superior global common standard.
2522,land acquisition collector,2,3,3,spacy,1,informative,FORUM-AUTHORITY,LAND-ACQUISITION,ACTOR,,"The Law Commission recommended that the law of requisitioning should be 8 Jiwani Kumar Paraki v. First Land Acquisition Collector, embodied in a permanent code but should be brought into force by a notification only when such action was dee"
2523,construction material,2,3,3,"spacy,textacy",1,informative,PROPERTY-RES,,EVIDENCE,,"Such exhibition was organized by the same organizers after the success of “Build-in-Style” exhibition at Meerut, held on 24, 25 and 26.12.2005 with an object that various brands in the segment of construction materials could get a platform "
2524,non ca firm,1,3,3,spacy,1,informative,PARTY-ACTOR,,ACTOR,,Firms received financial grants from non-CA firms contrary to the prohibition for the members of the Institute to receive any part of profits from non-member of the Institute.
2525,vide amendment,1,3,3,spacy,1,informative,STATUTE-PROVISION,,RULE,,(Portion in italics was added vide amendment dated 3.7.2003) xx
2526,tax rule,2,3,3,textacy,1,informative,STATUTE-PROVISION,,RULE,,
2527,suitable land,1,3,3,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"In case suitable land is available in the land bank, the same would be offered to such oustees."
2528,definition clause,2,3,3,spacy,1,informative,STATUTE-PROVISION,,RULE,,"So far as the 2nd issue is concerned, the R & R Policy provides for definition clause: Displaced Family: ""(i)"
2529,high court 's conclusion,2,3,3,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,The appellant also contested the correctness of the High Court's conclusion that the price of gas must be determined on the basis of cost of production plus a reasonable return for the Oil And Natural Gas Commission And vs Association Of Na
2530,right forearm,2,3,3,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,Injury No. 2 punctured wound on right lumber region of the abdomen on which margins were inverted and injury No. 3 is on the right forearm from where an embedded cartridge was removed could be result of one single fire.
2531,write notice,2,3,3,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"All disputes, between the parties to the Contract arising out of or relating to the Contract, other than those for which the decision of the C.W.E. or of any other person is by the Contract expressed to be final and conclusive, shall after "
2532,valuable consideration,2,3,3,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,It matters not that there is no valuable consideration from the receiver at the destination end.
2533,incriminate evidence,1,3,3,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,"As held in Narmada Devi Gupta , to ensure the reliability of the contents of the FIR/dying declaration, for which along with the inference drawn by us against the subsequent conduct of accusedrespondent no.2 and the aspect of deplorable fun"
2534,second gift,1,3,3,textacy,1,informative,LEGAL-CONCEPT,,ISSUE,,
2535,unsecured debt,1,3,3,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,That again is not an indication of the soundness of its financial position because there is evidence to show that the new management had to secure a large loan of about Rs. 30 lakhs on its personal security to pay these demands and that is 
2536,general regulatory power,1,3,3,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"This regulatory power is a general one, and it is very difficult to state that when the Commission adopts tariff under Section 63, it functions de hors its general regulatory power under Section 79(1)(b)."
2537,rival claim,2,3,3,"rake,spacy,textacy",1,informative,LEGAL-CONCEPT,,ISSUE,,"On the demise of Karuna, there were two rival claims for inheritance to his property."
2538,unemployed son,1,3,3,"spacy,textacy",1,informative,PARTY-ACTOR,,ACTOR,,Whether the plaintiff requires the suit premises for her unemployed son?...
2539,continuous government service,1,3,3,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"On May 23, 1952, the Director General, All India Radio, passed an order bearing No. 2(1)A/50 in which it was stated that whereas the appellant had been in continuous Government service for more than three years and a declaration had been is"
2540,individual aspect,1,3,3,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"As clarified in Ram Dial v. Sant Lal, , Section 123 does not emphasise the individual aspect of the exercise of such influence, but pays regard to the use of such influence as has the tendency to bring about the result contemplated in the c"
2541,court tribunal,3,3,3,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"As regards the requisite approach in applying the law of limitation to the application under Section 7 of the Code, the learned senior counsel has strenuously argued that the amendment applying the provisions of the Limitation Act to the Co"
2542,individual partner,1,3,3,"spacy,textacy",1,informative,PARTY-ACTOR,,ACTOR,,"The above provisions make it clear that regardless of the character of the property brought in by the partners on the constitution of the partnership firm or that which is acquired in the course of business of the partnership, such property"
2543,trial court 's exercise,1,3,3,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"(iii)If it appears to the, appellate Court that in exercising its discretion the trial court has acted unreasonably or capriciously or has ignored relevant facts then it would certainly be open to the Appellate Court to interfere with the t"
2544,article deal,2,3,3,spacy,1,informative,STATUTE-PROVISION,CONSTITUTIONAL,RULE,,Article 21 deals with right to life and liberty.
2545,past member,1,3,3,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"Rule 115 states as follows: ""Any dispute touching the business of a registered society (i) between members or past members of a society or persons claiming through a member or past member, (ii) or between a member or a past member or person"
2546,commission by its order,2,3,3,yake,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,
2547,evacuees property,1,3,3,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,As we said earlier the Punjab Act was a law providing for agrarian reform and it neither purported to be nor was it a law regulating the administration of Evacuees Property.
2548,file document,2,3,3,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,The State Government and the district level authorities are directed to provide their full cooperation and produce any and all files/documents required by the Inquiry Committee to address the grievances of the appellants and any other perso
2549,punjab general sales tax act,1,3,3,"rake,spacy",1,informative,STATUTE-PROVISION,,RULE,,"As registered dealers under the Punjab General Sales Tax Act, 1948, the respondents had been and are at present paying purchase tax on milk in terms o f Section 4(B) of the State Act."
2550,lawful possession,2,3,3,spacy,1,informative,LEGAL-CONCEPT,POSSESSION,ISSUE,,"It was urged that if it was the case of the defendant that he was in lawful possession in any capacity other than tenant, he `ought' to have raised such defence in the earlier proceedings."
2551,operational debt,1,3,3,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"**** **** (10): ""creditor"" means any person to whom a debt is owed and includes a financial creditor, an operational creditor, a secured creditor, an unsecured creditor and a decree-holder; (11) “debt” means a liability or obligation in res"
2552,constitutional power,2,3,3,spacy,1,informative,LEGAL-CONCEPT,CONSTITUTIONAL,ISSUE,,The constitutional courts seldom exercise their constitutional powers to examine a claim for compensation merely due to violation of some statutory provisions resulting in monetary loss to the claimants.
2553,utility service,1,3,3,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"Furthermore, a dedication of private property to public utility service will not be presumed from the fact that the product and service of the use of such property is the usual subject matter of utility service; neither does such presumptio"
2554,technical rule,2,3,3,spacy,1,informative,STATUTE-PROVISION,,RULE,,In construing a will we are not fettered by the technical rules of English law founded on the difference between realty and personalty.
2555,undivided property,2,3,3,"spacy,textacy",1,informative,PROPERTY-RES,,EVIDENCE,,"They had only an 'undivided' share in the Shamlat-deh lands because such lands were not liable to be partitioned they could not be alienated and they were intended to be used and were in fact used, without exception, as undivided' property "
2556,ii claim,1,3,3,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"Persons who challenge the impugned judgment fall under three categories, namely, (i) the assignees of decrees; (ii) claim petitioners whose impleadment applications have been dismissed by the High Court; and (iii) the State Government. M/S."
2557,constitutional right,2,3,3,spacy,1,informative,LEGAL-CONCEPT,CONSTITUTIONAL,ISSUE,,This Court has consistently held that Article 300-A is not only a constitutional right but also a human right.
2558,concerned building,1,3,3,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,On receiving the notices appellant No. 2 realised that respondent No.1 had referred the question of valuation of the concerned buildings to respondents Nos. 2 and 3 under s. 16A of the Act and that the notices issued by respondents Nos. 2 a
2559,authority of the court,3,3,3,yake,1,informative,FORUM-AUTHORITY,,ACTOR,,
2560,executive magistrate,2,3,3,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Conditional order for removal of nuisanceWhenever a District Magistrate or a Sub-divisional Magistrate or any other Executive Magistrate specially empowered in this behalf by the State Government, on receiving the report of a police officer"
2561,claim under this policy,1,3,3,yake,1,informative,LEGAL-CONCEPT,,ISSUE,,
2562,minimum profit,1,3,3,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"The producer should not, therefore, be allowed to get back more than a minimum profit."
2563,easy reference,1,3,3,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,Para 3.6 of the Guidelines dealing with Public Awareness is of some importance and the same is extracted hereunder for our easy reference: “3.6 Public Awareness: Public awareness plays a key role in the emergency preparedness and response p
2564,pre emption suit,1,3,3,spacy,1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,"Vs. KHALILUL REHAMAN & ANOTHER DATE OF JUDGMENT03/05/1972 GROVER, A.N. GROVER, A.N. HEGDE, K.S. CITATION: 1973 (1) 500 1972 (2) 336 ACT: Mohammedan Law--Demand in a pre-emption suit has to be made after sale-deed having been copied out in S"
2565,coal india,1,3,3,spacy,1,informative,JURISDICTION-PLACE,,EVIDENCE,,"This being so, it is clear that so far as the procurement of Indian coal is concerned, to the extent that the supply from Coal India and other Indian sources is cut down, the PPA read with these documents provides in clause 13.2 that while "
2566,know principle,1,3,3,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,The only question to be considered is as to whether the Oil and Natural Gas Commission has fixed a price based on relevant materials and on some known principle.
2567,fair price ration shop,1,3,3,"rake,spacy",1,informative,PROPERTY-RES,,EVIDENCE,,Therein the petitioners are an association of cooperative societies running fair price ration shops in Bombay in premises requisitioned under the said Act.
2568,general jurisdiction,1,3,3,"spacy,textacy",1,informative,LEGAL-CONCEPT,PROCEDURE-REMEDY,ISSUE,,"Exclusion of jurisdiction of a court of general jurisdiction, can be brought about by the setting up of a Bhim Sen vs The State Of U. P on 15 March, 1955 court of limited jurisdiction, in respect of the limited field, only if the vesting an"
2569,certain sum,3,3,3,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,The fixed deposit receipt is merely a written acknowledgement by the Bank that it holds a certain sum to the use of its customers.
2570,chandigarh court,1,3,3,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Ultimately, this Court held that the Chandigarh Court had jurisdiction to entertain the complaint because the parties were carrying on business at Chandigarh, Branch Office of the complainant was also in Chandigarh, the transactions were ca"
2571,owner hiralal,1,3,3,spacy,1,informative,PARTY-ACTOR,TITLE-OWNERSHIP,ACTOR,,"No decree could be passed against Bhagwandas as the suit was filed by the plaintiff against the owner Hiralal, trespasser Ganpat and defendant-Bhagwandas in a Civil Court."
2572,exclusion clause,1,3,3,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Where an insurance company which has exclusive privilege to carry on insurance business has refused to renew the mediclaim policy of an insured on extraneous and irrelevant considerations, any disease which an insured had contacted during t"
2573,land adjacent,2,3,3,textacy,1,informative,PROPERTY-RES,,EVIDENCE,,
2574,gross profit,1,3,3,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"Then it also applied 'the dividend tests, examined the main profitable ratio, considered the total dividend as coverage by paid up capital, compared gross profits and total capital employed and profits and profitability in relation to per d"
2575,appeal before the appellate,3,3,3,yake,1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,
2576,officer b,1,3,3,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,Now suppose the Government delegates its power under s. 42 to officer B and officer B then makes an order under s. 42 as delegate of Government.
2577,muscle power,2,3,3,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"In the said judgement, certain inferences, observations and Harendra Rai vs The State Of Bihar on 18 August, 2023 findings arrived at by the Division Bench have a crucial impact on the merit of the present case, as it gives a complete pictu"
2578,appropriate proceeding,3,3,3,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"It was also not open to the defendant to deny the title of the plaintiff since in appropriate proceedings, a finding had been recorded as to ownership of property and a decree had been passed by a competent Civil Court holding the plaintiff"
2579,iv of the constitution,1,3,3,yake,1,informative,STATUTE-PROVISION,CONSTITUTIONAL,RULE,,
2580,tamil nadu act,2,3,3,spacy,1,informative,STATUTE-PROVISION,,RULE,,"In the same judgment, this Court has extracted the detention order and the grounds for detaining him under the Tamil Nadu Act, 1982."
2581,field officer,2,3,3,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,". On the basis of the above decision, you are also requested to issue necessary instructions to the field officers."
2582,particular property,2,3,3,"spacy,textacy",1,informative,PROPERTY-RES,,EVIDENCE,,"In that residue, which becomes devisable among the partners, every partner has an interest and when a particular property is allocated to a partner in proportion to his share in the profits of the firm, there is no partition or transfer tak"
2583,article assistance,1,3,3,spacy,1,informative,STATUTE-PROVISION,CONSTITUTIONAL,RULE,,"However, it has been possible to ascertain whether the articled assistances are also being Centre For Public Interest Litigation vs U.O.I on 23 February, 2018 rotated among the firms."
2584,notice u,2,3,3,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"Founded on the detention of the respondent under the order dated 19-12-1974, after issuing a show cause notice u/s 6(1) of SAFEMA to the respondent and his relatives and alleged associates, an order u/s 7 of SAFEMA was passed forfeiting the"
2585,court that the land,3,3,3,yake,1,informative,FORUM-AUTHORITY,,ACTOR,,
2586,home state,2,3,3,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,The medical facilities also vary from State to State and the State to which the Judge is transferred might not have the same quality of medical services as his home State.
2587,sundry income,1,3,3,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"In response to the grievance that no action was taken against PwCPL and their network audit firms in India, the ICAI submitted that its Disciplinary Directorate had already taken cognizance of the information in the Article dated 17 th Janu"
2588,public participation,2,3,3,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"Access to information, public participation, and access to justice through courts, tribunals, commissions, and other bodies; iii."
2589,independent right,3,3,3,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,The Division Bench after extensively reproducing from the Schedules A to F of the award proceeded to state in paragraph 39 that the allotments are exclusive to the brothers and they get independent rights of their own under the S.V. Chandra
2590,water dispute,2,3,3,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,They have further submitted that NWDT Award was meant only for the Sardar Sarovar Dam as a water dispute had arisen among the States sharing the water of the Narmada river under the Award and thus the said Award has no application whatsoeve
2591,magistrate have no jurisdiction,2,3,3,yake,1,informative,FORUM-AUTHORITY,PROCEDURE-REMEDY,ACTOR,,
2592,acquisition case,3,3,3,"spacy,textacy",1,informative,LEGAL-CONCEPT,LAND-ACQUISITION,ISSUE,,"But they placed reliance on some awards passed by the said Court in other acquisition cases, in particular, the following two awards: (i)"
2593,rent and accommodation control act,1,3,3,yake,1,informative,STATUTE-PROVISION,TENANCY-LEASE,RULE,,
2594,service agreement,1,3,3,spacy,1,informative,PROCEDURE-RELIEF,SALE-CONTRACT,PROCEDURAL,,"In the absence of complete set of documents such as complete copy of agreements between some of the Indian CA firms and their international affiliates/network along with annexures referred thereto, networking agreement, internal regulations"
2595,bid document,1,3,3,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,"Both the Gujarat Electricity Regulatory Commission and the Haryana State Regulatory Commission approved the bid documents and the process proposed by GUVNL and the Haryana Utilities, after which Requests for Proposal were issued by both of "
2596,hissar division,1,3,3,spacy,1,informative,JURISDICTION-PLACE,,EVIDENCE,,"Thereafter respondent No. 1 filed an appeal before the Commissioner, Hissar Division, against the order of the Collector, Hissar dated September 25, 1970."
2597,court 's jurisdiction,2,3,3,spacy,1,informative,FORUM-AUTHORITY,PROCEDURE-REMEDY,ACTOR,,"The court's jurisdiction to allow such an application is taken away unless the conditions precedent therefor are satisfied, viz., it must come to a conclusion that in spite of due diligence the parties could not have raised the matter befor"
2598,special reference,2,3,3,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,Article 217 was read to suggest with special reference to proviso (e) to Article 217(1) that even as the office of the judge of a High Court shall be vacated by his being appointed to be a judge of the Supreme Court-this could be done only 
2599,dispute loan,1,3,3,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"On 3rd July, 1995 the respondent Bank filed an application in the Court before which the suit was pending seeking to inform the Court that the fixed deposit receipt had been ""mortgaged"" as security towards the disputed loan and that it had "
2600,sarbanse oxley act,1,3,3,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Thus, revisit of existing legal framework may become necessary so as to have an oversight mechanism to regulate MAFs on the touchstone of Code of Ethics. iii) Need for amendment of law to separate regulatory regime for auditing services on "
2601,different section,3,3,3,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Having regard to the plurality of its meaning, the sense in which the expression is used in different sections, and even clauses, must be ascertained from the context of the scheme of the Act; the language of the provision Anand Nivas (Priv"
2602,early order date,2,3,3,rake,0,non-informative,TEMPORAL,,,,
2603,english act,1,3,3,spacy,1,informative,STATUTE-PROVISION,,RULE,,that s. 1 [1928] 2 K. B. 117. (2) (1926) 135 L. T. 26. 4(1)(h) of the English Act of 1923 dealt only with contractual tenants was expressly rejected on the ground that the word meant both contractual and statutory tenants throughout the sec
2604,mr. justice d.a. desai,1,3,3,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"Desai and Mr. Justice D.A. Desai, three of the senior most judges of the High Court to hear the petition."
2605,juridical person,1,3,3,spacy,1,informative,PARTY-ACTOR,,ACTOR,,The MAFs are corporates/juridical persons.
2606,v. peoples union,1,3,3,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"(See: Ram Singh Vijay Pal Singh & v. State of U.P. & , ; Villianur Iyarkkai Padukappu Maiyam v. Union of India & , ; and State of Kerala & v. Peoples' Union for Civil Liberties, Kerala State Unit & , ."
2607,village barsu ballah,1,3,3,spacy,1,informative,JURISDICTION-PLACE,,EVIDENCE,,On 27.4.78 the High Court allowed the appeal and altered the decree passed by the learned District Judge holding that the plaintiffs (respondents herein) were found entitled to claim the possession of half of the share in 43.14 bighas of la
2608,mill premise,1,3,3,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"the, Industrial, Court observed : ""Shri Jyotikar had urged that the term 'mill premises' as interpreted by the courts would include even Places around the factory and so the question whether the appellants were working in one compound or th"
2609,face value,2,3,3,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"In R.P. Kapur v. State of Punjab , this court summarized some categories of cases where inherent power can and should be exercised to quash the proceedings: Preeti Gupta & vs State Of Jharkhand & on 13 August, 2010 (i) where it manifestly a"
2610,allot premise,1,3,3,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"Hence, the State Government should not derequisition and evict the consumer cooperative societies from the allotted premises before 31-5-1996."
2611,emption suit,1,3,3,textacy,1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,
2612,appeal before this court,3,3,3,yake,1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,
2613,share of the national,1,3,3,yake,1,informative,LEGAL-CONCEPT,PARTITION,ISSUE,,
2614,law commission report,2,3,3,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,The 154th Law Commission Report on the CrPC devoted an entire chapter to ‘Victimology’ in which the growing emphasis on victim’s rights in criminal trials was discussed extensively as under: “1.
2615,public carrier,1,3,3,spacy,1,informative,PARTY-ACTOR,,ACTOR,,The appellant society carried on business as public carriers on the Kanpur-Delhi route.
2616,stage carriage service,1,3,3,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,A scheme was also notified for the operation of the stage carriage services on those routes.
2617,voter 's right,1,3,3,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,Misleading voters as to character antecedents of a candidate in contemporary times is a serious interference with the free exercise of a voter's right.
